Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Nombre completo,Nacido en España,Fecha_nacimiento,Edad_actual,Increment
Inês,Ferreira Silva,Portugal,Lisboa,25,2,1953,Mujer,1184.04,No,1.0,Grup B,Inês Ferreira Silva,False,1953-02-25,73,0.035
Khadija,Bennani Bennani,Marroc,Rabat,20,1,1995,Mujer,2012.0399999999997,No,1.0,Grup B,Khadija Bennani Bennani,False,1995-01-20,31,0.035
Toni,Castells Romero,Espanya,Barcelona,13,4,1961,Hombre,1488.33,No,1.0,Grup B,Toni Castells Romero,True,1961-04-13,64,0.035
Núria,García López,Espanya,Madrid,8,6,1969,Mujer,1422.09,No,1.0,Grup B,Núria García López,True,1969-06-08,56,0.035
Toni,Castells Martínez,Espanya,Barcelona,10,1,1981,Hombre,2175.5699999999997,Sí,,Grup B,Toni Castells Martínez,True,1981-01-10,45,0.035
Chloé,Lefevre,França,Marsella,10,9,1973,Mujer,1967.5349999999999,Sí,,Grup B,Chloé Lefevre,False,1973-09-10,52,0.035
Marc,Romero Martínez,Espanya,Bilbao,4,7,1993,Hombre,2097.9449999999997,Sí,,Grup B,Marc Romero Martínez,True,1993-07-04,32,0.035
Oriol,López Ferrer,Espanya,Barcelona,3,11,1969,Hombre,1550.4299999999998,Sí,,Grup B,Oriol López Ferrer,True,1969-11-03,56,0.035
Toni,Martínez Castells,Espanya,Sevilla,20,4,1952,Otros,2203.515,No,1.0,Grup B,Toni Martínez Castells,True,1952-04-20,73,0.035
Isla,Jones,Regne Unit,Manchester,26,6,1985,Mujer,1461.4199999999998,Sí,,Grup B,Isla Jones,False,1985-06-26,40,0.035
Eva,Ferrer Martínez,Espanya,Sevilla,4,5,1960,Mujer,1470.735,No,1.0,Grup B,Eva Ferrer Martínez,True,1960-05-04,65,0.035
Marc,Ferrer Ferrer,Espanya,Bilbao,20,3,1974,Hombre,1604.2499999999998,Sí,,Grup B,Marc Ferrer Ferrer,True,1974-03-20,51,0.035
Pau,Martínez,Espanya,Madrid,17,8,1999,Hombre,2039.985,No,1.0,Grup B,Pau Martínez,True,1999-08-17,26,0.035
Giulia,Conti,Itàlia,Roma,8,7,1998,Mujer,2036.8799999999999,Sí,,Grup B,Giulia Conti,False,1998-07-08,27,0.035
Anna,Sánchez,Espanya,Sevilla,21,10,1955,Mujer,1349.6399999999999,No,1.0,Grup B,Anna Sánchez,True,1955-10-21,70,0.035
Pau,Ferrer,Espanya,Bilbao,25,4,1957,Hombre,1365.165,Sí,,Grup B,Pau Ferrer,True,1957-04-25,68,0.035
Eva,López,Espanya,Bilbao,16,12,1974,Mujer,2031.705,No,1.0,Grup B,Eva López,True,1974-12-16,51,0.035
Andrés,González,Mèxic,Guadalajara,26,2,1992,Hombre,2358.765,Sí,,Grup B,Andrés González,False,1992-02-26,34,0.035
Clara,Sánchez López,Espanya,València,27,7,1955,Mujer,2083.455,Sí,,Grup B,Clara Sánchez López,True,1955-07-27,70,0.035
Anna,Castells Romero,Espanya,València,25,8,1978,Mujer,1730.5199999999998,No,1.0,Grup B,Anna Castells Romero,True,1978-08-25,47,0.035
Eva,Sánchez,Espanya,Bilbao,10,1,1977,Mujer,1953.0449999999998,No,1.0,Grup B,Eva Sánchez,True,1977-01-10,49,0.035
Joan,Ferrer,Espanya,Bilbao,13,11,1994,Hombre,1574.235,No,1.0,Grup B,Joan Ferrer,True,1994-11-13,31,0.035
Anna,Sánchez García,Espanya,Sevilla,13,7,1993,Mujer,1502.82,No,1.0,Grup B,Anna Sánchez García,True,1993-07-13,32,0.035
Khadija,Fassi,Marroc,Rabat,10,5,1970,Mujer,1471.77,No,1.0,Grup B,Khadija Fassi,False,1970-05-10,55,0.035
Marta,Romero,Espanya,València,25,11,2002,Mujer,1302.03,No,1.0,Grup B,Marta Romero,True,2002-11-25,23,0.035
Núria,Romero,Espanya,Madrid,26,10,1993,Mujer,1399.32,Sí,,Grup B,Núria Romero,True,1993-10-26,32,0.035
Arnau,García,Espanya,València,2,1,1954,Hombre,2200.41,No,1.0,Grup B,Arnau García,True,1954-01-02,72,0.035
Núria,López,Espanya,Bilbao,1,1,1973,Mujer,1725.3449999999998,Sí,,Grup B,Núria López,True,1973-01-01,53,0.035
Toni,Castells,Espanya,València,1,4,1963,Hombre,1825.7399999999998,Sí,,Grup B,Toni Castells,True,1963-04-01,62,0.035
Gabriela,González,Mèxic,Ciutat de Mèxic,17,6,1955,Mujer,1668.4199999999998,Sí,,Grup B,Gabriela González,False,1955-06-17,70,0.035
Pau,Sánchez,Espanya,Barcelona,13,3,1962,Hombre,1524.5549999999998,No,1.0,Grup B,Pau Sánchez,True,1962-03-13,63,0.035
Laia,Sánchez Castells,Espanya,Barcelona,21,11,1970,Mujer,2128.995,Sí,,Grup B,Laia Sánchez Castells,True,1970-11-21,55,0.035
Toni,Castells,Espanya,Bilbao,7,6,1990,Hombre,1732.59,No,1.0,Grup B,Toni Castells,True,1990-06-07,35,0.035
Chloé,Girard,França,Marsella,17,4,1977,Mujer,2054.475,Sí,,Grup B,Chloé Girard,False,1977-04-17,48,0.035
Anna,Castells Martínez,Espanya,València,3,4,1991,Mujer,1463.4899999999998,No,1.0,Grup B,Anna Castells Martínez,True,1991-04-03,34,0.035
Laura,Schneider Fischer,Alemanya,Berlín,2,2,1958,Mujer,1830.915,Sí,,Grup B,Laura Schneider Fischer,False,1958-02-02,68,0.035
Oriol,López,Espanya,València,27,6,2002,Hombre,1353.78,No,1.0,Grup B,Oriol López,True,2002-06-27,23,0.035
Núria,García Ferrer,Espanya,Sevilla,17,6,1957,Otros,1283.3999999999999,No,1.0,Grup B,Núria García Ferrer,True,1957-06-17,68,0.035
Daniel,Gutiérrez Castro,Colòmbia,Medellín,4,5,1976,Hombre,1506.9599999999998,No,1.0,Grup B,Daniel Gutiérrez Castro,False,1976-05-04,49,0.035
Jordi,Ferrer,Espanya,València,21,6,1967,Hombre,1376.55,Sí,,Grup B,Jordi Ferrer,True,1967-06-21,58,0.035
Pau,López Martínez,Espanya,Bilbao,22,5,1967,Hombre,2199.375,Sí,,Grup B,Pau López Martínez,True,1967-05-22,58,0.035
Joan,Romero,Espanya,Bilbao,15,11,1987,Hombre,1581.4799999999998,No,1.0,Grup B,Joan Romero,True,1987-11-15,38,0.035
Oriol,Sánchez Sánchez,Espanya,Bilbao,17,3,2002,Hombre,1878.5249999999999,Sí,,Grup B,Oriol Sánchez Sánchez,True,2002-03-17,23,0.035
Marta,Castells Ferrer,Espanya,Sevilla,15,3,1981,Mujer,1937.5199999999998,Sí,,Grup B,Marta Castells Ferrer,True,1981-03-15,44,0.035
Sofia,Oliveira,Portugal,Porto,5,7,1952,Mujer,1462.455,No,1.0,Grup B,Sofia Oliveira,False,1952-07-05,73,0.035
Eva,Martínez,Espanya,Madrid,19,10,1974,,2085.5249999999996,No,1.0,Grup B,Eva Martínez,True,1974-10-19,51,0.035
Toni,García,Espanya,Bilbao,20,9,1990,Hombre,1757.4299999999998,No,1.0,Grup B,Toni García,True,1990-09-20,35,0.035
Oriol,Sánchez Martínez,Espanya,Sevilla,5,1,1981,Hombre,2008.935,No,1.0,Grup B,Oriol Sánchez Martínez,True,1981-01-05,45,0.035
Anna,Ferrer,Espanya,València,6,10,1984,Mujer,1584.5849999999998,Sí,,Grup B,Anna Ferrer,True,1984-10-06,41,0.035
Matías,Gómez Gómez,Argentina,Còrdova,18,8,2002,Hombre,2152.7999999999997,Sí,,Grup B,Matías Gómez Gómez,False,2002-08-18,23,0.035
Jean,Girard Moreau,França,París,26,9,1991,,1628.0549999999998,Sí,,Grup B,Jean Girard Moreau,False,1991-09-26,34,0.035
Pau,Martínez,Espanya,Madrid,14,2,1959,Hombre,2173.5,No,1.0,Grup B,Pau Martínez,True,1959-02-14,67,0.035
Eva,Romero Ferrer,Espanya,València,7,12,1965,Mujer,1926.1349999999998,No,1.0,Grup B,Eva Romero Ferrer,True,1965-12-07,60,0.035
Eva,Castells,Espanya,Madrid,9,7,1956,Mujer,1727.415,Sí,,Grup B,Eva Castells,True,1956-07-09,69,0.035
Fatima,Fassi,Marroc,Casablanca,18,3,1958,Mujer,1194.3899999999999,No,1.0,Grup B,Fatima Fassi,False,1958-03-18,67,0.035
