Nom,Cognoms,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Nombre completo,Nacido en España,Fecha_nacimiento,Edad_actual,Increment
Marta,Martínez Martínez,Espanya,Bilbao,23,8,1995,,2047.14,No,1.0,Grup C,Marta Martínez Martínez,True,1995-08-23,30,0.02
Joan,López,Espanya,Sevilla,13,10,1964,Hombre,2657.1,Sí,,Grup C,Joan López,True,1964-10-13,61,0.02
Miguel,Oliveira Pereira,Portugal,Lisboa,19,9,1978,Hombre,2293.98,No,1.0,Grup C,Miguel Oliveira Pereira,False,1978-09-19,47,0.02
Tomás,Rodríguez Fernández,Argentina,Còrdova,20,4,1986,Hombre,2635.68,Sí,,Grup C,Tomás Rodríguez Fernández,False,1986-04-20,39,0.02
Núria,Castells,Espanya,Bilbao,14,11,1960,,2856.0,Sí,,Grup C,Núria Castells,True,1960-11-14,65,0.02
Tomás,Fernández Álvarez,Argentina,Còrdova,8,9,1958,Hombre,2530.62,No,1.0,Grup C,Tomás Fernández Álvarez,False,1958-09-08,67,0.02
Laia,López,Espanya,Madrid,11,7,1964,,2104.26,Sí,,Grup C,Laia López,True,1964-07-11,61,0.02
Pau,Sánchez,Espanya,Madrid,8,10,2001,Hombre,2132.82,No,1.0,Grup C,Pau Sánchez,True,2001-10-08,24,0.02
Toni,Martínez,Espanya,València,12,9,1992,Hombre,2599.98,Sí,,Grup C,Toni Martínez,True,1992-09-12,33,0.02
José,Ramírez Hernández,Mèxic,Guadalajara,11,6,1966,Hombre,1967.58,No,1.0,Grup C,José Ramírez Hernández,False,1966-06-11,59,0.02
Marta,Ferrer López,Espanya,Sevilla,19,7,1969,,2471.46,No,1.0,Grup C,Marta Ferrer López,True,1969-07-19,56,0.02
Marc,García,Espanya,Madrid,19,10,1955,Hombre,2219.52,Sí,,Grup C,Marc García,True,1955-10-19,70,0.02
Marc,Sánchez López,Espanya,Bilbao,6,8,1990,Hombre,2026.74,No,1.0,Grup C,Marc Sánchez López,True,1990-08-06,35,0.02
Pau,Romero Romero,Espanya,Madrid,6,12,1988,Hombre,2776.44,No,1.0,Grup C,Pau Romero Romero,True,1988-12-06,37,0.02
Sophie,Brown,Regne Unit,Londres,12,5,1956,Mujer,1562.64,No,1.0,Grup C,Sophie Brown,False,1956-05-12,69,0.02
Pau,López Martínez,Espanya,València,1,1,1988,Hombre,2861.1,No,1.0,Grup C,Pau López Martínez,True,1988-01-01,38,0.02
Toni,Ferrer,Espanya,Barcelona,12,4,1985,Hombre,2691.78,No,1.0,Grup C,Toni Ferrer,True,1985-04-12,40,0.02
Toni,García,Espanya,Bilbao,28,10,1998,Hombre,2768.28,Sí,,Grup C,Toni García,True,1998-10-28,27,0.02
Olivia,Jones Brown,Regne Unit,Londres,20,1,1965,Otros,2509.2,Sí,,Grup C,Olivia Jones Brown,False,1965-01-20,61,0.02
